'umra	umrah
French Revolution	Revolusi Perancis
French curve	nuri
French kiss	ciuman Perancis
Frenchman	orang Perancis | orang Prancis
Frenchwoman	wanita Perancis | wanita Prancis
Fri	emas
Friday	Jumat | jumat
Friedreich's ataxia	ataksia Friedreich
Friesland	Friesland
Frisia	Friesland
Frisian	Frisia
Fujian	Fujian
Funen	Fyn
Fung	Fung
G-spot	titik G
GDP	PDB | GDP
GDR	RDJ
GFY	ngentot lu
Gabon	Gabon
Gaborone	Gaborone
Gaea	Gaia
Gaelic	bahasa
Gagauzia	Gagauzia
Gaia	Gaia
Galapagos Islands	Kepulauan Galapagos
Galatians	Galatia
Galicia	Galisia
Galilee	Galilea
Galileo	Galilea
Gallicanism	Galikanisme
Gallipoli	Gallipoli
Galton-Watson process	proses Galton-Watson
Galway	Galway
Gambia	Gambia
Ganges	Gangga
Garden of Eden	taman Eden
Garhwal	Garhwal
Gaza	Gaza
Gaza Strip	Jalur Gaza
Gdańsk	Gdańsk
Gdynia	Gdynia
Gehenna	neraka
Gelderland	Gelderland
Gemini	Gemini
General Secretary	sekretaris umum
Genesis	Kejadian | Genesis | Kitab Kejadian
Geneva	Jenewa
Geneva Convention	Konvensi Jenewa
Genevieve	Geneveva
Genoa	Genoa | Genova
Georgia	Georgia
Georgian	bahasa Georgia
Georgian Orthodox Church	Gereja Ortodoks Georgia
Geppetto	Geppeto
German	Jerman | bahasa Jerman | orang Jerman
German Democratic Republic	Republik Demokratik Jerman
German Empire	Kekaisaran Jerman
German shepherd	anjing gembala Jerman
Germanic	Jerman
Germano-	bahasa Jerman
Germany	Jerman
Ghana	Ghana
Ghent	Gent
Ghibelline	Ghibellin
Gibraltar	Gibraltar
Gilbertese	Kiribati
Gilgal	Gilgal
Girona	Girona
Glasgow	Glasgow
Global Positioning System	sistem pemosisi global
Goa	Goa
Gobi	gurun Gobi
God	Tuhan | Allah
God forbid	Tuhan melarang
God the Holy Ghost	Roh Kudus
God willing	insyaallah
God works in mysterious ways	Tuhan bekerja dengan cara misterius
God-fearing	agamais
Goddess	Tuhan
Godspeed	fortuno
Godzilla	Godzilla
Golden Fleece	Bulu Domba Emas
Golden Gate Bridge	jembatan Golden Gate
Golden Horn	Tanduk Emas
Golden Triangle	Segitiga Emas
Golden Week	Minggu Emas
Golgi apparatus	badan Golgi
Golgotha	Golgota
Goliath	Goliat | Jalut
Gondwana	Gondwana
Good Friday	Jumat Agung | Jum'at Agung
Goofy	Gufi
Google	Google
Gorbachev	Gorbachev | Gorbachyov
Gorontalo	Gorontalo
Goth	gelas
Gothic	bahasa Goth | bahasa Gothik
Gouda	Gouda
Granada	Granada
Grand Duchy of Luxembourg	Keharyapatihan Luksemburg
Grand Master	suhu agung
Grand Mufti	Mufti Agung
Great Barrier Reef	Karang Penghalang Besar
Great Britain	Britania Raya
Great Dane	Denmark
Great Depression	Depresi Besar
Great Game	Permainan Besar
Great Lakes	Danau-Danau Besar
Great Pyramid of Giza	Piramida Agung Giza
Great Salt Lake	Danau Garam Besar
Great Wall of China	Tembok Besar Tiongkok
Great War	Perang Besar
Greater London	London Raya
Greater Poland	Wielkopolska
Greece	Yunani | Greece
Greek	bahasa Yunani | orang yunani
Greek Orthodox Church	Gereja Ortodoks Yunani
Green Zone	Zona Hijau
Greenland	Greenland
Greenlander	bahasa Greenland
Greenlandic	bahasa Kalaallisut
Gregorian calendar	kalender Gregorius
Gregorian chant	kidung Gregorian
Grenada	Grenada
Grenoble	Grenoble
Grim Reaper	kematian
Gros Michel	Pisang Ambon
Guadalajara	Guadalajara
Guadeloupe	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Guatemala	Guatemala
Guatemala City	Guatemala
Guelph	Guelf
Guernsey	Guernsey
Guillain-Barré syndrome	sindrom Guillain-Barré
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Guinevere	Jenewa
Gujarati	Gujarati
Gulf of Aden	Teluk Aden
Gulf of Alaska	Teluk Alaska
Gulf of Bothnia	Teluk Bothnia
Gulf of California	Teluk California
Gulf of Finland	Teluk Finlandia
Gulf of Guinea	Teluk Guinea
Gulf of Mexico	Teluk Meksiko
Gulf of Riga	Teluk Riga
Gulf of Thailand	Teluk Thailand
Gunungsitoli	Gunungsitoli
Guyana	Guyana
Göttingen	Göttingen
H-hour	Jam-J
HDI	IPM
HQ	mabes
HTTP cookie	kuki
Habakkuk	Habakuk
Hades	Hades
Haggai	Hagai
Hainanese chicken rice	nasi ayam Hainan
Haiti	Haiti
Hakka	bahasa Hakka
Halahala	Halahala | Kalakuta
Halmahera	Halmahera | pulau Halmahera
Hamas	Hamas
Hamburg	Hamburg
Han	Dinasti Han
Han Chinese	suku Han
Hankel function	fungsi Hankel
Hanoi	Hanoi
Hanover	Hannover
Hansard	Hansard
Hanukkah	Hanukah
Hardy-Weinberg equilibrium	keseimbangan Hardy-Weinberg
Hashemite Kingdom of Jordan	Kerajaan Hasyimiyah Yordania
Hausa	Hausa
Hautes-Alpes	Hautes-Alpes
Havana	havana
Hawaii	Hawaii
Hawaiian	bahasa Hawaii
Hazaragi	Hazara
Hebraic	bahasa Ibrani
Hebrew	ibrani | Ibrani | Yahudi | bahasa Ibrani | orang Ibrani
Hector	Hektor
Heliopolis	Heliopolis
Hellas	Yunani
Hellenic	bahasa Yunani
Hellenic Republic	Republik Yunani
Helsinki	Helsinki
Hera	Hera
Heracles	Hercules
Hercules	Hercules
Herod	Herodes
Herodotus	Herodotus
Hertzsprung-Russell diagram	diagram Hertzsprung-Russell
Hezbollah	Hizbullah
High Commission	komisi tinggi
Hijra	hijrah
Hinayana	Hinayana
Hindi	Hindi | bahasa Hindi
Hinduism	agama Hindu
Hinomaru	Hinomaru
Hispanic	Spanyol
Hispanic America	Amerika Hispanik | Amerika Spanyol
Hittite	Het
Hmong	Hmong | bahasa Hmong
Hokkaido	Hokkaido
Hokkien	bahasa Hokkien
Holland	Holandia
Holocaust	Holocaust
Holocene	holosen
Holofernes	Holofernes
Holy Alliance	Aliansi Suci
Holy Communion	ekaristi
Holy Father	Bapa Suci
Holy Roman Empire	Kekaisaran Romawi Suci
Holy Saturday	Sabtu Suci
Holy See	Tahta Suci
Holy Spirit	Roh Kudus
Holy Trinity	Tritunggal Mahakudus
Holy Week	pekan suci
Holy Writ	Kitab Suci
Homer	Homerus
Honduras	Honduras
Hong Kong	Hong Kong
Hong Kong dollar	dolar Hong Kong
Horn of Africa	Tanduk Afrika
Horus	Horus
Hosea	Hosea
House of Representatives	Dewan Perwakilan Rakyat
Hryhorivka	musim bunga
Hubble constant	hukum Hubble
Hudson Bay	Teluk Hudson
Human Genome Project	Proyek Genom Manusia
Hungarian	bahasa Hongaria | orang Hongaria
Hungarian hound	anjing pemburu Hongaria
Hungary	Hongaria | Hungaria
Huntington's disease	penyakit Huntington
Hussitism	Husitisme
Hvidovre	Hvidovre
Hyde Park	Taman Hyde
Höðr	Hodhr
I	saya | aku | daku
I am English	saya orang Inggris
I beg your pardon	apa
I came, I saw, I conquered	kudatang, kulihat, kutakluk
I do	ia
I don't care	saya tidak peduli
I don't know	saya tidak tahu
I don't speak English	aku tidak berbahasa Indonesia | saya tidak bisa bicara bahasa Indonesia | saya tidak bisa bicara bahasa Inggris
I don't think so	saya rasa tidak
I don't understand	saya tidak mengerti | saya tidak paham
I hate you	aku benci kau | aku membencimu
I have a question	saya punya pertanyaan
I have cancer	aku
I have high blood pressure	tekanan darahku tinggi
I have low blood pressure	tekanan darahku rendah
I have no money	saya tidak punya uang
I love you	aku cinta kamu | saya cinta kamu | aku cinta padamu | aku mengasihimu | aku menyayangimu | aku sayang kamu
I need ...	saya perlu ...
I think, therefore I am	saya berpikir, maka saya ada
I told you so	apa kataku | nah
I wish	namun
I'm ... year(s) old	saya berumur ... tahun | umur saya ... tahun
I'm a Christian	aku Kristen | saya seorang Kristen
I'm a Muslim	aku muslim | saya seorang muslim
I'm afraid not	Aku rasa tidak
I'm an atheist	aku ateis | saya seorang ateis
I'm bisexual	Aku biseksuil
I'm bleeding	aku berdarah
I'm busy	aku sibuk | saya sibuk
I'm deaf	saya tuna rungu
I'm dying	Saya sekarat
I'm fine	apa kabar
I'm hot	Saya panas
I'm hungry	saya lapar
I'm in love with you	aku jatuh cinta padamu | aku jatuh cintakepadamu
I'm looking for a job	aku cari jalur | aku cari kerja
I'm lost	saya tersesat
I'm married	saya sudah menikah
I'm mute	aku bisu
I'm not interested	saya tidak tertarik
I'm scared	menggemani
I'm sick	aku sakit
I'm sorry	ampun
I'm twenty years old	saya berumur dua puluh tahun
I've been raped	saya diperkosa
I've been robbed	saya dirampok
I've burned myself	saya terbakar
ICU	ICU
IEC	id
IP address	alamat IP
Iberia	Iberia
Iberian Peninsula	Semenanjung Iberia
Iblis	iblis
Iceland	Islandia
Icelander	bahasa Islandia
Icelandic	bahasa Islandia | Bahasa Islandia
Icelandic Sheepdog	anjing gembala Islandia
Ido	bahasa Ido
Ilham	Ilham
Ille-et-Vilaine	Ille-et-Vilaine
Illinois	Illinois
Iloilo	Iloilo
Immanuel	Imanuel
Imperial Aramaic	bahasa Aram Baku Kuno | bahasa Aram Kekaisaran
Incarnation	penjelmaan
India	India
Indian	indian | orang india
Indian Ocean	Samudra Hindia
Indian coral tree	dadap | dadap ayam | dadap laut
Indian mulberry	mengkudu
Indian myna	kerak ungu
Indian rhinoceros	badak India
Indianapolis	Indianapolis
Indo-	Indo- | indo-
Indo-European	Rumpun bahasa India-Eropa | Rumpun bahasa Indo-Eropa
Indochina	Indochina
Indoneesia	Indonesia
Indonesia	Indonesia
Indonesian	bahasa Indonesia | Indonesia | orang Indonesia
Indonesian language	bahasa Indonesia
Indonesianize	mengindonesiakan | menusantara
Indra	Indra
Indramayu	Indramayu
Indus	Indus
Information Age	Zaman Informasi
Inner Asia	Asia Dalam
Inner Mongolia	Mongolia Dalam
Instagram	Instagram
Instagrammable	Instagramable
International Court of Justice	Mahkamah Internasional
International Monetary Fund	Dana Moneter Internasional
International Phonetic Alphabet	Alfabet Fonetis Internasional
International System of Units	Sistem Satuan Internasional
Internet	Internet
Internet Protocol	protokol Internet
Internet cafe	warnet
Internet of Things	internet untuk segala
Interslavic	bahasa Interslavia
Invisible Pink Unicorn	unicorn merah muda tak terlihat
Ionian Sea	Laut Ionia
Iphigenia	Ifigeneia
Iran	Iran
Iranian	Iran
Iraq	Irak
Ireland	Irlandia
Irish	Irlandia
Irish Sea	Laut Irlandia
Irish setter	seter Irlandia
Irkutsk	Irkutsk
Iron Curtain	Tirai Besi
Irrawaddy	Irrawaddy
Isaiah	Yesaya
Iscariot	Iskariot
Isfahan	Isfahan
Islam	Islam
Islamabad	Islamabad
Islamic	Islam
Islamic Emirate of Afghanistan	Keamiran Islam Afganistan
Islamic Republic of Afghanistan	Republik Islam Afganistan
Islamic Republic of Iran	Republik Islam Iran
Islamic Republic of Mauritania	Republik Islam mauritania
Islamic State	Negara Islam
Islamic calendar	Kalender Hijriah
Islamism	islamisme
Islamization	islamisasi | pengislaman
Islamophobia	islamofobia
Isle of Man	Pulau Man
Israel	Israel
Israeli	Israel
Israelite	bani Israel | bani Israil
Istanbul	Istambul
Istria	Istria
Italian	Bahasa Italia
Italian Peninsula	Semenanjung Italia
Italy	Italia | Itali
Ivalo	Ivalo
Ixion	Iksion
Iyar	Iyar
J-pop	J-pop
Jacob	Yakub
Jahannam	jahanam
Jai Shri Ram	Kejayaan untuk Tuan Rama | Kemenangan untuk Tuan Rama
Jaipur	Jaipur
Jakarta	Jakarta | Batavia | Djakarta | Jayakarta | Sunda Kelapa
Jakartan	Jakarta | orang Jakarta
Jamaica	Jamaika
Jambi	Jambi
James	Yakobus
Jan Mayen	Jan Mayen
January	Januari | januari
Janus	Yanus
Japan	Jepang
Japanese	orang Jepang | Jepang | bahasa Jepang
Japanophilia	Japanofilia
Japonic	bahasa Jepang
Java	Jawa | pulau Jawa
Java Sea	Laut Jawa
Java sparrow	gelatik jawa
Javan	bahasa Jawa
Javan rhinoceros	badak jawa
Javan tiger	harimau Jawa
Javanese	bahasa Jawa | Jawa | orang Jawa
Jayapura	Jayapura | Sukarnopura
Jeddah	Jeddah
Jehoshaphat	Yosafat
Jehovah	Yehuwa
Jehovah's Witness	Saksi Yehuwa
Jehovah's Witnesses	Saksi-Saksi Yehuwa
Jeju	bahasa Jeju
Jena	Jena
Jeremiah	Yeremia
Jericho	Yerikho
Jeroboam	Yerobeam
Jersey	Jersey
Jerusalem	Yerusalem
Jesuit	Yesuit
Jesus	Yesus | Isa
Jesus Christ	Yesus Kristus
Jew	Yahudi | yahudi
Jewish	Yahudi
Jewish Bolshevism	Bolshevisme Yahudi | Bolsyevisme Yahudi | Yudeo–Bolshevisme | Yudeo–Bolsyevisme
Jewishness	keyahudian
Jewry	keyahudian
Jin	emas
Job	Ayyub
Joel	Yoël
John	Yohanes
John the Baptist	Yohannes Pembaptis
Johor Bahru	Johor Bahru | Johor Baru
Jolly Roger	Jolly Roger | bendera bajak laut
Jordan	Yordania
Joseph	Yusuf | Yosef | surah Yusuf
Joshua	Yusha
Josiah	Yosia
Jove	Yupiter
Jr.	putri/anak perempuan
Juba	Juba
Judaism	agama Yahudi
Judas	Yudas
Judas Iscariot	Yudas
Judas kiss	ciuman Yudas
Jude	Yudas
Judea	Yudea
Judges	Kitab Hakim-hakim
Julius	Julius
July	juli | Juli
Jumada II	Jumadilakhir
June	juni | Juni
Jupiter	Jupiter | Yupiter | Musytari
Jurassic	Jura
Jutland	Jutlandia
K-drama	drakor
K-pop	K-pop
KNKT	KNKT
Kaaba	Ka'bah
Kabbalah	Kabala
Kabul	Kabul
Kaimana	Kaimana
Kaiser	kaisar
Kali	Kali
Kaliningrad	Kaliningrad
Kama	Kama
Kangean	Kepulauan Kangean | bahasa Kangean | pulau Kangean
Kannada	Kannada
Karachi	Karachi
Karnataka	Karnataka
Kashmir	Kashmir
Katharevousa	katharevousa
Kathmandu	Kathmandu
Kaunas	Kaunas
Kazakhstan	Kazakhstan
Kazan	Kazan
Kediri	Kediri
Kelantan	Kelantan
Kelantanese	Kelantan
Kenpeitai	kempetai
Kenya	Kenya
Khabarovsk Krai	Krai Khabarovsk
Kharkiv	Kharkiv
Khartoum	Khartoum
Khinalug	Khinalug
Khmer	bahasa Khmer | Khmer
Khmer Rouge	Khmer Merah
Khorasan	Khorasan
Khrushchev	Khrushchev
Kienbock's disease	penyakit Kienbock
Kim	emas
King Arthur	Raja Arthur
Kingdom Hall	Balai Kerajaan
Kingdom of Bahrain	Kerajaan Bahrain
Kingdom of Belgium	Kerajaan Belgia
Kingdom of Denmark	Kerajaan Denmark
Kingdom of England	Kerajaan Inggris
Kingdom of Eswatini	Kerajaan Eswatini
Kingdom of Great Britain	Kerajaan Britania Raya
Kingdom of Italy	Kerajaan Italia
Kingdom of Morocco	Kerajaan Maroko
Kingdom of Naples	Kerajaan Napoli
Kingdom of Norway	Norwegia
Kingdom of Saudi Arabia	Kerajaan Arab Saudi
Kingdom of Scotland	Kerajaan Skotlandia
Kingdom of Swaziland	Kerajaan Swaziland
Kingdom of Thailand	Muangthai
Kiribati	Kiribati
Kislev	Kislew
Klaukkala	Klaukkala
Klinefelter syndrome	sindrom Klinefelter
Klingon	bahasa klingon
Knesset	Knesset
Knights Templar	Kesatria Kanisah | Kesatria Kenisah | Kesatria Templar
Kodiak bear	beruang kodiak
Kolkata	Kolkata
Komodo dragon	komodo
Komotini	Komotini
Kongo	bahasa kongo
Konstanz	Konstanz
Korah	Karun | Korah
Korea	Korea
Korea Strait	Selat Korea
Korean	orang Korea | Korea | bahasa Korea
Koreanic	Korea
Kosovo	Kosovo
Kotamobagu	Kotamobagu
Košice	Košice
Krakow	Kraków
Krasnodar	Krasnodar
Krasnoyarsk	Krasnoyarsk
Krishna	Kresna
Krolevets	Kaliningrad
Kuala Lumpur	Kuala Lumpur
Kufa	Kufah
Kuiper belt	Sabuk Kuiper
Kupang	Kupang
Kupiansk	Kupyansk
Kurdish	Kurdi
Kurdistan	Kurdistan
Kuril Islands	kepulauan Kuril
Kuwait	Kuwait
Kuwait City	Kuwait
Kyiv	Kiev
Kyoto	Kyoto
Kyrgyz	Kirgiz
Kyrgyz Republic	Republik Kirgiz
Kyrgyzstan	Kirgizstan | Kirgizia
Königsberg	Kaliningrad
LASIK	lasik
LOL	wkwkwk
LSD	LSD
La Pérouse Strait	Selat La Pérouse
Labour Party	Partai Buruh
Laboya	Lamboya
Ladoga	Danau Ladoga
Lady	Ibu
Lady Luck	Dewi Fortuna
Lake Constance	Danau Konstanz
Lake District	Danau District
Lake Erie	Danau Erie
Lake Geneva	Danau Jenewa
Lake Huron	Danau Huron
Lake Michigan	Danau Michigan
Lake Ontario	Danau Ontario
Lake Superior	Danau Superior
Lake Victoria	Danau Victoria
Lake Zurich	Danau Zurich
Lakshmi	Laksmi
Lalibela	Lalibela
Lamaholot language	bahasa Lamaholot
Lamentations	Ratapan
Land of the Rising Sun	Negeri Matahari Terbit | Tanah Matahari Terbit
Langsa	Langsa
Lantern Festival	Cap Go Meh | Festival Lampion
Lao	bahasa Laos
Lao People's Democratic Republic	Republik Demokratik Rakyat Laos
Laocoön	Laokoon
Laos	Laos
Lapland	Laplandia
Laptev Sea	Laut Laptev
Laputa	Laputa
Last Judgment	penghakiman terakhir
Last Supper	Perjamuan Terakhir
Late Middle Ages	Abad Pertengahan Akhir
Latin	Latin
Latin Church	Gereja Latin
Latium	Latium
Latter-day Saint	Orang Suci Zaman Akhir
Latvia	Latvia
Latvian	bahasa Latvia | orang Latvia
Laurasia	Laurasia
Lausanne	Lausanne
Lazio	Latium
Le Mans	Le Mans
League of Nations	Liga Bangsa-Bangsa
Leaning Tower of Pisa	Menara Miring Pisa | Menara Pisa
Lebanon	Lebanon
Leinster	Leinster
Leipzig	Leipzig
Lenin	Lenin
Leningrad	Leningrad
Leninism	Leninisme | leninisme
Lent	Prapaskah
Leo	Leo
Leon	Leo
Lepus	terwelu
Lesbos	Lesbos
Lesotho	Lesotho
Lesser Antilles	Antillen Kecil
Lethe	Lethe
Leuven	Leuven
Levant	Syam
Leviticus	Imamat | Kitab Imamat
Leyden jar	Tabung Leiden | Tabung Leyden
Leyte	Leyte
Lhasa	Lhasa
Lhokseumawe	Lhokseumawe
Liberia	Liberia
Libra	Libra
Libya	Libya
Liechtenstein	Liechtenstein
Liguria	Liguria
Lilith	Lilith
Lille	Lille
Lima	Lima
Limburg	Limburg
Linux	Linux
Lisbon	Lisboa
Lithuania	Lithuania | Lituania
Lithuanian	bahasa Lithuania | orang Lithuania
Lithuanian Hound	anjing pemburu Lituania
Little Red Riding Hood	Si Kerudung Merah
Liu	Liu
Liverpool	Liverpool
Liège	Liège
Ljubljana	Ljubljana
Lodz	Łódź
Logos	Firman
Loire	Loire
Loki	Loki
Lombardy	Lombardia
Lombok	Lombok
London	London
Lord	Tuhan | rabi
Lord's Prayer	Bapa Kami | Doa Tuhan
Lorraine	Lorraine
Los Angeles	Los Angeles
Louisiana	Louisiana
Lourdes	Lourdes
Louvre	Louvre
Low Germany	Jerman Utara
Lower Normandy	Basse-Normandie
Lower Saxony	Niedersachsen
Lubuklinggau	Lubuklinggau
Lucas	Lukas
Luhansk People's Republic	Republik Rakyat Lugansk
Luke	Lukas
Lunar New Year	Imlek | hari raya Imlek | imlek | sincia | tahun baru imlek
Lupus	Lupus
Lusatia	Lausitz
Lutheranism	Luteranisme | Lutheranisme
Luxembourg	Luksemburg | Luxemburg
Luxembourgish	bahasa luxemburg
Luzon	Luzon
Lviv	Lviv
Lycia	Lykia
Lyon	Lyon
Lyra	Lyra
Löwchen	anjing singa kecil
MAC address	alamat kendali akses media
MIT License	lisensi MIT
MPR	RRM
MRE	ransum tentara
MV	KM
Macau	Makau
Maccabee	Makabe
Macedonia	Makedonia
Macedonian	Makedonia
Machiavellianism	makiavelisme
Madagascar	Madagaskar
Madrid	Madrid
Magdeburg	Magdeburg
Magelang	Magelang
Maghreb	Maghrib
Magna Carta	Magna Carta
Mahabharata	Mahabharata
Mahayana	Mahayana
Mainz	Mainz
Makassar	Makassar
Malacca	Melaka
Malachi	Maleakhi
Malaga	Málaga
Malagasy	bahasa Madagaskar
Malang	Malang
Malawi	Malawi
Malay	bahasa Melayu | Melayu | orang Melayu
Malay Peninsula	Semenanjung Malaya
Malay apple	jambu bol
Malayalam	bahasa Malayalam
Malayize	melayukan
Malayness	kemelayuan
Malaysia	Malaysia
Malaysian	orang Malaysia | Malaysia
Maldives	Maladewa
Mali	Mali
Malta	Malta
Malta Island	Malta
Maltese	Malta
Maluku	Maluku
Malukus	Maluku
Malé	Malé
Mameluke	Mamalik | Mamluk
Man	manusia | orang
Manado	Manado
Manama	Manama
Manaus	Manaus
Manche	Manche
Manchester	Manchester
Manchu	Bahasa Manchu
Manchuria	Manchuria
Mandarin	bahasa Mandarin | Putonghua
Mandopop	Pop Mandarin
Manichaeism	maniisme
Manila	Manila
Manila hemp	pisang abaka
Manitoba	Manitoba
Maoism	Maoisme | maoisme
Maori	bahasa maori
Mar.	laut
Marathi	bahasa Marathi
March	maret | Maret
Marche	Marche
Marfan syndrome	sindrom Marfan
Mark	Markus
Mars	Mars | Marikh
Marseille	Marseille
Marshall Islands	Kepulauan Marshall
Martinique	Martinique
Marxism	marxisme
Marxism-Leninism-Maoism	Marxisme-Leninisme-Maoisme
Mary	Mariam | Maria
Mary Magdalene	Maria Magdalena
Mascarene Islands	Kepulauan Mascarenhas
Masjid al-Haram	Baitulharam | Masjidilharam
Masovia	Mazovia
Mass	misa
Master of Science	Magister Sains
Masuria	Mazuria
Mataram	Mataram
Matthew	Matius
Maundy Thursday	Kamis Putih
Maurice	Mauritius
Mauritania	Mauritania
Mauritius	Mauritius
May	mei | Mei
Mayotte	Mayotte
Mañjuśrī	manjusri
McDonald's	McDonald's | Mekdi
Mecca	Makkah | kiblat
Medan	Medan
Medea	Medeia
MediaWiki	MediaWiki
Medina	Madinah
Mediterranean	Mediterania
Mediterranean Sea	Laut Tengah | Laut Mediterania
Mekong	Mekong
Melanesia	Melenasia
Melbourne	Melbourne
Melchizedek	Melkisedek
Mensa	Gunung Meja
Mercury	Merkurius | Utarid
Mesoamerica	Mesoamerika
Mesopotamia	Mesopotamia
Mesozoic	Mesozoikum
Messiah	Mesias
Methuselah	Metusalah
Metro	Metro
Metro Manila	Metro Manila
Mexican wave	alun
Mexico	Meksiko
Mexico City	Meksiko
Miami	Miami
Mickey Mouse	Miki Tikus | Mickey Mouse
Micronesia	Mikronesia
Middle Ages	Abad Pertengahan | abad pertengahan
Middle East	Timur Tengah
Middle Japanese	Bahasa Jepang Pertengahan
Middle Kingdom	China
Midway Islands	atol Midway
Midwest	Barat Tengah
Milan	Milan
Miletus	Miletos
Milky Way	Bima Sakti | Bimasakti
Minangkabau	Minangkabau
Minnesotan	penduduk
Minsk	Minsk
Mirandese	bahasa miranda
Miriam	Mariam
Miss	nona
Mississippi	Mississippi
Missouri	Missouri
Missus	Ibu
Miyako	bahasa Miyako
Mizo	Mizo
Mnemosyne	Mnemosine
Mocha	Mukha
Modena	Modena
Mogadishu	Mogadishu
Mojokerto	Mojokerto
Moldova	Moldova | Moldavia
Moldovan	bahasa Moldova
Moluccas	Maluku
Momus	Momos
Monaco	Monako
Monastir	Bitola
Monday	Senin | senin
Mongolia	Mongolia
Mongolian	orang Mongolia | bahasa Mongolia
Mongolic	Mongolia
Monica	Monika
Monoceros	Monoceros
Monopoly	Monopoli
Montenegro	Montenegro
Montessori	montessori
Montevideo	Montevideo
Montreal	Montreal
Montserrat	Montserrat
Moon	bulan | rembulan
Moravia	Moravia
Moravian	adik
Mormonism	Mormonisme
Moroccan	Maroko
Morocco	Maroko | Moroko
Moscow	Moskwa | Moskow
Moses	Musa
Moskva	Moskwa
Mosul	Mosul
Mother Earth	Pertiwi
Mount Everest	Gunung Everest
Mount Mayon	Gunung Mayon
Mount of Olives	Bukit Zaitun
Mozambique	Mozambik
Mozarab	Muzarab
Mozarabic	Muzarab
Mr.	Tn.
Mrs	Ibu | Nyonya
Ms	Ibu
Mu'tazila	muktazilah
Muggle	muggle
Muhammad	Muhammad
Mumbai	Mumbai
Munich	Muenchen | München
Murmansk	Murmansk
Murphy's law	hukum Murphy
Muscat	Muskat
Muscovy	Moskwa
Muslim	orang Muslim | Muslim
Myanmar	Myanmar
Ménière's disease	penyakit Ménière
Möbius strip	pita Möbius
NAM	GNB
NATO	NATO
NB	menyaksikan
NGO	LSM
Nagoya	Nagoya
Nahum	Nahum
Nairobi	Nairobi
Nakba	Nakba
Namibia	Namibia
Namur	Namur
Nancy	Nancy
Nanjing	Nanjing
Nantes	Nantes
Naples	Napoli
Narcissus	Narkissos
Narnia	Narnia
Narva	Narva
Natal	Natal
Nathanael	Natanael
National Aeronautics and Space Administration	Badan Penerbangan dan Antariksa
National Socialism	nasional sosialisme
National Socialist German Workers' Party	Partai Buruh Nasional-Sosialis Jerman
Nativity	Natal
Nauru	Nauru
Nauruan	bahasa Nauru
Navajo	bahasa Navajo
Navalny	Navalny
Navarre	Navarra
Naypyidaw	Naypyidaw
Nazi	Nazi | orang Nazi
Nazi Germany	Reich ketiga
Nazism	nazisme
Neapolitan	es krim neapolitan
Near East	Timur Dekat
Nehemiah	Nehemia
Nenets	bahasa Nenets
Neoplatonism	neoplatonisme
Nepal	Nepal
Neptune	Neptunus
Nero	Nero
Nestorianism	Nestorianisme
Netherlands	Belanda
Netherlands Antilles	Antilles Belanda
New Brunswick	New Brunswick
New Caledonia	Kaledonia Baru
New Delhi	New Delhi
New Guinea	Nugini | Papua | Pulau Nugini | Pulau Papua | Irian | Pulau Irian
New Jersey	New Jersey
New Mexico	New Mexico
New Orleans	New Orleans
New South Wales	New South Wales
New Spain	Spanyol Baru
New Taipei	Taipei Baru
New Testament	Perjanjian Baru
New World	Dunia Baru
New World Order	Tatanan Dunia Baru
New Year	Tahun Baru | tahun baru
New Year's	malam tahun baru
New Year's Day	tahun baru
New Year's Eve	malam tahun baru
New York	New York
New York City	New York
New Zealand	Selandia Baru | New Zealand
Newton's first law	hukum Newton pertama
Newton's second law	hukum Newton kedua
Newton's third law	hukum Newton ketiga
